Task ID,Name,Assignee,Tags,Notes,Projects,CPT Comment
951549222882496,Technical issue-Joint venture shareholders' agreement-majority or minority [Echo ID 107292],Ellaiza Janda-Berroy,CPT,"Hi Louis
As per the emails, clause 1 of this JVA isn’t showing in the table of contents. I should be grateful if you could look into this.
Thanks,
Maria",Content Items not reflecting changes,
911784267421654,3143483 New starter toolkit,Lexi Crispe,CPT,"Doc ID: 3143483 
Doc title: New starter toolkit

Description of issue: The subphases under the tabs  Insurance and Reinsurance and Risk and Compliance are not appearing in the interactive toolkit. I have tried republishing and removing the & sign in the title but it didn't work.
I have tried using different browsers and asked a colleague to try and search for the toolkit but it ended with the same results.
Please advise. 

- Martin to look into",Content Items not reflecting changes,
628960100589254,"URGENT—Corporate Precedents—blank drafting notes in the definitions section in precedents doc ID 93368, 93350, 191906 and 875147",Akan,"Akan, Product, CPT","- Lisa added to backlog (47206), has been sized and will be pulled in next week for planning, more update next week, quite high up the list. In current sprint, 56, in a spike, wait for analysis before we know what will happen

- readded to the backlog 54157

There is an additional/Live replicable issue which is that long DNs that require a scroll bar/scrolling arrows, don't have those scroll features and the run-over text gets cut off 

-(06/12)  Lisa has added it to new post-pivot/post-Proxy backlog (relatively low priority) -- Akan asked for this to be considered medium priority of o/s 3 Product issues",Content Items not reflecting changes,
624006142503139,Technical issue-GDPR compliant data protection warranties—Share purchase agreement and asset purchase agreement (Echo ID 2824993),Akan,"Akan, Product, CPT","- Lisa added to backlog (49634), been sized, unlikely to be looked at in the next few months

-(06/12)  Lisa has added it to new post-pivot/post-Proxy backlog (relatively low priority) -- Akan asked for this to be considered lowest priority of o/s 3 Product issues",Content Items not reflecting changes,
958507340780966,Removing Commercial Media Pod - deleted from ECHo but still appearing,Lexi Crispe,CPT,"Issue: Media Pod removed from Homepage in ECHo in mid-December yet still appearing with deleted item 3118829 - Data Protection in 2018 on the live site.

Assumed this was related to those cache issues but alas not.",Landing page not reflecting changes,
958371076273511,FINANCIAL SERVICES- 1526501- LANDING PAGE ERROR,Lexi Crispe,CPT,"DocID: 1526501
DocTitle: Markets in Financial Instruments Directive (MiFID II) and Markets in Financial Instruments Regulation (MiFIR)—timeline
Description of error:
PN is searchable and is working fine when clicked thru search option. But if you browse it, ten clicked from landing page, it returns an error message as shown below. ",Landing page not reflecting changes,
971141216530757,Case leading to homepage,DIGITAL EDITORS - (PAM/ECHo admin),"CPT, LinkLeadToHomepage","3160616
Brexit—considerations for personal injury claims
Case: Brasserie du Pêcheur and ex parte Factortame [1996] All ER (EC) 301 is leading to homepage",Linking,
968131691464434,Case citation of Federal Commerce and Navigation v Molena Alpha [1979] 1 All ER 307 leads to Commercial homepage,DIGITAL EDITORS - (PAM/ECHo admin),"CPT, LinkLeadToHomepage","Doc ID: 3167806
Doc Title: What are the remedies for breach of a term implied by section 13 of the Supply of Goods and Services Act 1982? What is repudiatory breach and how is it established?
Description: Case citation of Federal Commerce and Navigation v Molena Alpha [1979] 1 All ER 307 leads to Commercial homepage",Linking,
967864290360384,Act not linking,Lexi Crispe,CPT,"1489042
 Damages in clinical negligence claims
""The Civil Liability Act 2018"" is not linking",Linking,
964961984730084,Technical issue - case not linking correctly - Termination-corporate joint ventures (ECHO ID 98970),DIGITAL EDITORS - (PAM/ECHo admin),"CPT, LinkLeadToHomepage",,Linking,
